country,year,children,child_mortality,income,life,population,continent
Kuwait,1835,6.87,500.0,1250.0,26.0,81300,Asia
Kyrgyzstan,1835,6.58,380.0,581.0,23.9,608000,Asia
Laos,1835,6.13,419.0,899.0,31.9,542000,Asia
Latvia,1835,4.92,405.0,847.0,33.0,754000,Europe
Lebanon,1835,5.74,448.0,2420.0,29.7,370000,Asia
Lesotho,1835,5.84,407.0,359.0,32.8,222000,Africa
Liberia,1835,6.19,429.0,832.0,31.1,322000,Africa
Libya,1835,7.2,405.0,1270.0,33.1,251000,Africa
Liechtenstein,1835,,,,,6460,Europe
Lithuania,1835,5.53,459.0,1430.0,28.9,971000,Europe
Luxembourg,1835,4.67,357.0,1740.0,36.9,175000,Europe
Macedonia,1835,5.9,392.0,782.0,36.1,447000,Europe
Madagascar,1835,6.89,437.0,618.0,30.5,2100000,Africa
Malawi,1835,6.78,440.0,352.0,30.3,1560000,Africa
Malaysia,1835,5.45,436.0,1150.0,30.6,390000,Asia
Maldives,1835,5.98,434.0,844.0,32.6,46300,Asia
Mali,1835,6.23,494.0,607.0,26.4,1450000,Africa
Malta,1835,5.49,431.0,899.0,28.7,147000,Europe
Marshall Islands,1835,,,551.0,,8230,Oceania
Mauritania,1835,6.34,417.0,569.0,32.0,332000,Africa
Mauritius,1835,5.03,428.0,1010.0,27.2,103000,Africa
Mexico,1835,6.8,487.0,1230.0,26.9,6710000,North America
Micronesia,1835,6.02,358.0,529.0,26.7,17600,Oceania
Moldova,1835,6.39,372.0,676.0,33.1,817000,Europe
Monaco,1835,,,2380.0,,9330,Europe
Mongolia,1835,5.94,420.0,609.0,31.8,633000,Asia
Montenegro,1835,5.9,375.0,1200.0,35.4,160000,Europe
Morocco,1835,6.5,403.0,762.0,33.1,2770000,Africa
Mozambique,1835,6.63,440.0,398.0,30.3,3160000,Africa
Namibia,1835,5.96,412.0,678.0,32.4,144000,Africa
Nauru,1835,,,597.0,,1860,Oceania
Nepal,1835,6.15,407.0,621.0,32.8,4110000,Asia
Netherlands,1835,5.11,294.0,3790.0,39.9,2760000,Europe
New Zealand,1835,5.25,391.0,662.0,34.0,83800,Oceania
Nicaragua,1835,6.16,509.0,1140.0,25.4,236000,North America
Niger,1835,6.83,433.0,481.0,30.8,923000,Africa
Nigeria,1835,6.55,438.0,945.0,30.4,12800000,Africa
Norway,1835,4.7,220.0,2840.0,46.1,1180000,Europe
Oman,1835,6.88,414.0,977.0,32.3,332000,Asia
Pakistan,1835,6.59,502.0,1020.0,25.8,14300000,Asia
Palau,1835,,,885.0,,4170,Oceania
Panama,1835,5.36,406.0,1010.0,32.9,97400,North America
Papua New Guinea,1835,6.23,424.0,576.0,31.5,759000,Oceania
Paraguay,1835,6.49,374.0,1010.0,35.5,224000,South America
Peru,1835,6.82,372.0,768.0,35.7,1720000,South America
Philippines,1835,6.33,432.0,1120.0,30.9,2840000,Asia
Poland,1835,5.9,369.0,1120.0,35.9,11600000,Europe
Portugal,1835,4.5,373.0,1560.0,35.6,3600000,Europe
Qatar,1835,6.97,433.0,1250.0,30.8,14100,Asia
Romania,1835,5.22,372.0,464.0,35.7,7150000,Europe
Russian Federation,1835,7.0,419.0,1610.0,29.6,36000000,Asia
Rwanda,1835,7.07,420.0,451.0,31.8,1190000,Africa
Saint Kitts and Nevis,1835,,,1290.0,,22200,North America
Saint Lucia,1835,5.53,370.0,921.0,28.0,24000,North America
Saint Vincent and the Grenadines,1835,6.54,380.0,930.0,26.0,27800,North America
Samoa,1835,6.98,370.0,1480.0,25.4,47000,Oceania
San Marino,1835,,,1490.0,,6170,Europe
Sao Tome and Principe,1835,6.23,386.0,907.0,31.0,25300,Africa
Saudi Arabia,1835,6.86,416.0,2430.0,32.1,2160000,Asia
Senegal,1835,5.7,512.0,536.0,25.2,970000,Africa
Serbia,1835,5.9,374.0,1540.0,35.5,2080000,Europe
Seychelles,1835,5.16,328.0,909.0,37.0,13200,Africa
Sierra Leone,1835,5.72,514.0,791.0,25.1,786000,Africa
Singapore,1835,5.34,392.0,1060.0,34.0,41000,Asia
Slovakia,1835,5.94,363.0,1620.0,36.4,2260000,Europe
Slovenia,1835,4.56,361.0,1600.0,36.6,536000,Europe
Solomon Islands,1835,6.42,505.0,384.0,25.1,67000,Oceania
Somalia,1835,6.87,452.0,717.0,29.4,1220000,Africa
South Africa,1835,6.47,398.0,1800.0,33.5,2160000,Africa
South Sudan,1835,6.64,490.0,547.0,26.7,1130000,Africa
Spain,1835,5.13,451.0,1880.0,29.5,13500000,Europe
Sri Lanka,1835,5.68,410.0,809.0,32.6,1640000,Asia
Sudan,1835,6.64,425.0,559.0,31.4,4390000,Africa
Suriname,1835,6.58,406.0,1820.0,32.9,82900,South America
Swaziland,1835,6.71,414.0,528.0,32.3,71600,Africa
Sweden,1835,4.63,200.0,1610.0,47.1,3000000,Europe
Switzerland,1835,4.14,345.0,3790.0,38.0,2160000,Europe
Syria,1835,6.85,429.0,544.0,31.1,1410000,Asia
Tajikistan,1835,5.87,353.0,610.0,24.2,535000,Asia
Tanzania,1835,6.74,415.0,587.0,32.2,4060000,Africa
Thailand,1835,6.35,438.0,811.0,30.4,4940000,Asia
Togo,1835,6.34,427.0,736.0,31.3,475000,Africa
Tonga,1835,6.51,338.0,699.0,28.2,18500,Oceania
Trinidad and Tobago,1835,4.6,336.0,1340.0,32.9,69300,North America
Tunisia,1835,6.4,460.0,806.0,28.8,987000,Africa
Turkey,1835,6.92,380.0,1280.0,35.0,10600000,Asia
Turkmenistan,1835,6.22,489.0,1060.0,24.0,421000,Asia
Tuvalu,1835,,,758.0,,2690,Oceania
US,1835,6.28,329.0,2660.0,39.4,15200000,North America
Uganda,1835,6.89,511.0,500.0,25.3,2490000,Africa
Ukraine,1835,7.5,361.0,861.0,36.6,12900000,Europe
United Arab Emirates,1835,6.94,434.0,1140.0,30.7,40200,Asia
United Kingdom,1835,4.83,285.0,3790.0,41.1,25400000,Europe
Uruguay,1835,5.85,406.0,2170.0,32.9,85300,South America
Uzbekistan,1835,5.71,381.0,528.0,26.9,2200000,Asia
Vanuatu,1835,6.6,350.0,618.0,24.3,32200,Oceania
Venezuela,1835,5.76,415.0,2430.0,32.2,1040000,South America
Vietnam,1835,4.7,417.0,768.0,32.0,6270000,Asia
Yemen,1835,6.88,540.0,968.0,23.4,2660000,Asia
Zambia,1835,6.71,410.0,722.0,32.6,1270000,Africa
Zimbabwe,1835,6.75,396.0,906.0,33.7,850000,Africa
Afghanistan,1836,7.0,474.0,638.0,27.8,3520000,Asia
Albania,1836,4.6,375.0,694.0,35.4,470000,Europe
Algeria,1836,6.99,460.0,874.0,28.8,2770000,Africa
Andorra,1836,,,1500.0,,2970,Europe
Angola,1836,6.96,486.0,723.0,27.0,1980000,Africa
Antigua and Barbuda,1836,4.87,354.0,845.0,33.5,37000,North America
Argentina,1836,6.8,402.0,1980.0,33.2,712000,South America
Armenia,1836,7.91,354.0,548.0,34.0,478000,Europe
Australia,1836,5.54,391.0,2050.0,34.0,382000,Oceania
Austria,1836,5.1,384.0,2540.0,34.4,3640000,Europe
Azerbaijan,1836,8.1,357.0,851.0,29.2,1020000,Europe
Bahamas,1836,5.9,345.0,1610.0,35.2,27700,North America
Bahrain,1836,7.01,440.0,1440.0,30.3,64500,Asia
Bangladesh,1836,6.7,508.0,876.0,25.5,21400000,Asia
Barbados,1836,5.39,533.0,1020.0,32.1,107000,North America
Belarus,1836,7.0,366.0,674.0,36.2,2730000,Europe
Belgium,1836,4.97,281.0,2670.0,40.3,3940000,Europe
Belize,1836,6.68,361.0,646.0,26.5,25700,North America
Benin,1836,5.58,430.0,646.0,31.0,715000,Africa
Bhutan,1836,6.67,450.0,651.0,28.8,362000,Asia
Bolivia,1836,6.48,405.0,1090.0,33.0,1240000,South America
Bosnia and Herzegovina,1836,5.91,379.0,727.0,35.1,940000,Europe
Botswana,1836,6.48,397.0,430.0,33.6,106000,Africa
Brazil,1836,6.26,417.0,1120.0,32.0,5800000,South America
Brunei,1836,7.06,455.0,1600.0,29.2,3160,Asia
Bulgaria,1836,5.16,352.0,1180.0,37.4,2350000,Europe
Burkina,1836,6.05,455.0,490.0,29.2,1760000,Africa
Burma (Myanmar),1836,6.03,433.0,594.0,30.8,3730000,Asia
Burundi,1836,6.8,424.0,432.0,31.5,1140000,Africa
CZ,1836,5.14,380.0,2190.0,35.0,6220000,Europe
Cambodia,1836,6.95,380.0,395.0,35.0,2170000,Asia
Cameroon,1836,5.54,460.0,678.0,28.8,2300000,Africa
Canada,1836,5.72,326.0,1850.0,39.7,1460000,North America
Cape Verde,1836,6.48,395.0,568.0,33.8,66000,Africa
Central African Republic,1836,6.51,444.0,460.0,30.0,683000,Africa
Chad,1836,6.06,432.0,453.0,30.9,1680000,Africa
Chile,1836,5.98,417.0,865.0,32.0,1090000,South America
China,1836,5.5,417.0,759.0,32.0,411000000,Asia
Colombia,1836,6.19,417.0,810.0,32.0,1830000,South America
Comoros,1836,6.01,416.0,722.0,32.1,58300,Africa
Congo,1836,5.67,409.0,636.0,32.7,406000,Africa
Costa Rica,1836,6.93,441.0,929.0,30.2,87300,North America
Croatia,1836,5.75,367.0,1540.0,36.1,1410000,Europe
Cuba,1836,5.78,363.0,1150.0,36.4,1010000,North America
Cyprus,1836,6.03,339.0,1030.0,38.5,185000,Europe
Denmark,1836,4.02,280.0,2460.0,39.9,1320000,Europe
Djibouti,1836,6.3,445.0,843.0,29.9,31000,Africa
Dominica,1836,,,741.0,,21600,North America
Dominican Republic,1836,6.16,445.0,730.0,29.9,116000,North America
East Timor,1836,6.52,451.0,559.0,28.9,169000,Asia
Ecuador,1836,6.99,406.0,588.0,32.9,649000,South America
Egypt,1836,6.05,405.0,1720.0,33.0,4420000,Africa
El Salvador,1836,5.9,462.0,1120.0,28.7,305000,North America
Equatorial Guinea,1836,5.51,447.0,373.0,29.8,94300,Africa
Eritrea,1836,6.96,441.0,556.0,30.2,396000,Africa
Estonia,1836,4.68,362.0,1070.0,38.4,405000,Europe
Ethiopia,1836,7.17,448.0,527.0,27.0,15100000,Africa
Fiji,1836,6.45,499.0,831.0,26.1,139000,Oceania
Finland,1836,4.17,378.0,1440.0,30.8,1410000,Europe
France,1836,3.62,259.0,2160.0,42.0,34300000,Europe
Gabon,1836,6.37,436.0,392.0,30.6,222000,Africa
Gambia,1836,6.51,460.0,831.0,28.8,108000,Africa
Georgia,1836,7.8,368.0,587.0,31.9,1240000,Europe
Germany,1836,4.9,474.0,2600.0,38.4,29900000,Europe
Ghana,1836,6.43,471.0,716.0,28.0,2000000,Africa
Greece,1836,6.03,361.0,2500.0,36.6,2680000,Europe
Grenada,1836,5.81,363.0,1030.0,31.4,31300,North America
Guatemala,1836,6.45,503.0,979.0,25.8,682000,North America
Guinea,1836,6.11,445.0,467.0,29.9,1010000,Africa
Guinea-Bissau,1836,7.25,417.0,576.0,32.0,214000,Africa
Guyana,1836,5.01,429.0,1360.0,31.1,109000,South America
Haiti,1836,6.31,486.0,748.0,29.0,831000,North America
Honduras,1836,6.13,393.0,830.0,33.9,225000,North America
Hungary,1836,5.18,368.0,1420.0,36.0,4660000,Europe
Iceland,1836,4.88,389.0,1110.0,30.9,57900,Europe
India,1836,5.95,509.0,788.0,25.4,223000000,Asia
Indonesia,1836,6.07,444.0,904.0,30.0,19400000,Asia
Iran,1836,7.08,506.0,1570.0,25.6,7050000,Asia
Iraq,1836,7.13,428.0,3960.0,31.2,1170000,Asia
Ireland,1836,4.2,348.0,2360.0,38.3,8140000,Europe
Israel,1836,5.53,448.0,884.0,32.0,210000,Asia
Italy,1836,5.47,452.0,3100.0,29.7,22400000,Europe
Jamaica,1836,5.13,390.0,1200.0,34.2,382000,North America
Japan,1836,4.53,363.0,1050.0,36.4,31500000,Asia
Jordan,1836,6.97,421.0,1220.0,31.7,258000,Asia
Kazakhstan,1836,6.45,497.0,1290.0,26.2,2360000,Asia
Kenya,1836,6.91,508.0,955.0,25.5,3110000,Africa
Kiribati,1836,5.67,397.0,569.0,24.9,19300,Oceania
"Korea, North",1836,6.1,500.0,246.0,26.0,4400000,Asia
"Korea, South",1836,6.0,503.0,463.0,25.8,9470000,Asia
Kuwait,1836,6.87,500.0,1260.0,26.0,81300,Asia
Kyrgyzstan,1836,6.58,380.0,586.0,23.9,614000,Asia
Laos,1836,6.13,419.0,901.0,31.9,547000,Asia
Latvia,1836,4.91,405.0,853.0,33.0,766000,Europe
Lebanon,1836,5.74,448.0,2430.0,29.7,373000,Asia
Lesotho,1836,5.84,407.0,359.0,32.8,219000,Africa
Liberia,1836,6.19,429.0,834.0,31.1,322000,Africa
Libya,1836,7.2,405.0,1280.0,33.1,252000,Africa
Liechtenstein,1836,,,,,6500,Europe
Lithuania,1836,5.52,459.0,1440.0,28.9,985000,Europe
Luxembourg,1836,4.66,357.0,1760.0,36.9,176000,Europe
Macedonia,1836,5.9,391.0,789.0,36.1,451000,Europe
Madagascar,1836,6.89,437.0,621.0,30.5,2140000,Africa
Malawi,1836,6.78,440.0,352.0,30.3,1600000,Africa
Malaysia,1836,5.45,436.0,1150.0,30.6,398000,Asia
Maldives,1836,5.98,434.0,844.0,32.6,46600,Asia
Mali,1836,6.23,494.0,608.0,26.4,1460000,Africa
Malta,1836,5.49,431.0,908.0,28.7,147000,Europe
Marshall Islands,1836,,,551.0,,8420,Oceania
Mauritania,1836,6.34,417.0,572.0,32.0,329000,Africa
Mauritius,1836,5.03,428.0,1020.0,31.6,106000,Africa
Mexico,1836,6.8,487.0,1230.0,26.9,6770000,North America
Micronesia,1836,6.02,355.0,530.0,26.7,17700,Oceania
Moldova,1836,6.39,371.0,679.0,33.1,825000,Europe
Monaco,1836,,,2410.0,,9440,Europe
Mongolia,1836,5.94,420.0,610.0,31.8,634000,Asia
Montenegro,1836,5.9,375.0,1210.0,35.4,163000,Europe
Morocco,1836,6.5,403.0,766.0,33.1,2770000,Africa
Mozambique,1836,6.63,440.0,399.0,30.3,3250000,Africa
Namibia,1836,5.96,412.0,688.0,32.4,142000,Africa
Nauru,1836,,,600.0,,1860,Oceania
Nepal,1836,6.15,407.0,621.0,32.8,4130000,Asia
Netherlands,1836,5.11,288.0,3920.0,39.9,2780000,Europe
New Zealand,1836,5.25,391.0,662.0,34.0,80800,Oceania
Nicaragua,1836,6.16,509.0,1160.0,25.4,240000,North America
Niger,1836,6.83,433.0,483.0,30.8,928000,Africa
Nigeria,1836,6.55,438.0,949.0,30.4,12800000,Africa
Norway,1836,4.23,213.0,2770.0,46.5,1190000,Europe
Oman,1836,6.88,414.0,981.0,32.3,333000,Asia
Pakistan,1836,6.59,502.0,1020.0,25.8,14400000,Asia
Palau,1836,,,888.0,,4190,Oceania
Panama,1836,5.36,406.0,1020.0,32.9,98100,North America
Papua New Guinea,1836,6.23,424.0,578.0,31.5,759000,Oceania
Paraguay,1836,6.49,374.0,1020.0,35.5,231000,South America
Peru,1836,6.82,372.0,808.0,35.7,1800000,South America
Philippines,1836,6.2,432.0,1120.0,30.9,2890000,Asia
Poland,1836,6.3,369.0,1110.0,35.9,11700000,Europe
Portugal,1836,4.5,373.0,1550.0,35.6,3620000,Europe
Qatar,1836,6.97,433.0,1260.0,30.8,14100,Asia
Romania,1836,5.22,372.0,470.0,35.7,7200000,Europe
Russian Federation,1836,7.0,419.0,1620.0,29.6,36300000,Asia
Rwanda,1836,7.07,420.0,451.0,31.8,1210000,Africa
Saint Kitts and Nevis,1836,,,1300.0,,22600,North America
Saint Lucia,1836,5.53,368.0,924.0,28.0,24000,North America
Saint Vincent and the Grenadines,1836,6.54,377.0,936.0,26.0,28000,North America
Samoa,1836,6.98,367.0,1480.0,25.4,47000,Oceania
San Marino,1836,,,1500.0,,6210,Europe
Sao Tome and Principe,1836,6.23,385.0,909.0,31.0,25500,Africa
Saudi Arabia,1836,6.86,416.0,2430.0,32.1,2170000,Asia
Senegal,1836,5.7,512.0,539.0,25.2,967000,Africa
Serbia,1836,5.9,374.0,1550.0,35.5,2080000,Europe
Seychelles,1836,5.16,325.0,913.0,37.0,13200,Africa
Sierra Leone,1836,5.72,514.0,795.0,25.1,786000,Africa
Singapore,1836,5.34,392.0,1060.0,34.0,41900,Asia
Slovakia,1836,5.94,363.0,1630.0,36.4,2270000,Europe
Slovenia,1836,4.55,361.0,1610.0,36.6,540000,Europe
Solomon Islands,1836,6.42,505.0,385.0,25.1,67700,Oceania
Somalia,1836,6.87,452.0,718.0,29.4,1230000,Africa
South Africa,1836,6.47,398.0,1790.0,33.5,2210000,Africa
South Sudan,1836,6.64,490.0,550.0,26.7,1130000,Africa
Spain,1836,5.13,451.0,1890.0,29.5,13600000,Europe
Sri Lanka,1836,5.68,410.0,810.0,32.6,1670000,Asia
Sudan,1836,6.64,425.0,562.0,31.4,4410000,Africa
Suriname,1836,6.58,406.0,1830.0,32.9,83100,South America
Swaziland,1836,6.71,414.0,530.0,32.3,71200,Africa
Sweden,1836,4.52,225.0,1660.0,45.1,3020000,Europe
Switzerland,1836,4.14,345.0,3870.0,38.0,2170000,Europe
Syria,1836,6.85,429.0,547.0,31.1,1410000,Asia
Tajikistan,1836,5.87,352.0,614.0,24.2,540000,Asia
Tanzania,1836,6.74,415.0,588.0,32.2,4150000,Africa
Thailand,1836,6.35,438.0,812.0,30.4,4960000,Asia
Togo,1836,6.34,427.0,739.0,31.3,477000,Africa
Tonga,1836,6.51,336.0,702.0,28.2,18500,Oceania
Trinidad and Tobago,1836,4.61,336.0,1350.0,32.9,70000,North America
Tunisia,1836,6.4,460.0,813.0,28.8,995000,Africa
Turkey,1836,6.92,380.0,1280.0,35.0,10600000,Asia
Turkmenistan,1836,6.22,489.0,1070.0,24.0,425000,Asia
Tuvalu,1836,,,761.0,,2700,Oceania
US,1836,6.26,329.0,2700.0,39.4,15600000,North America
Uganda,1836,6.89,511.0,503.0,25.3,2520000,Africa
Ukraine,1836,7.5,361.0,866.0,36.6,13000000,Europe
United Arab Emirates,1836,6.94,434.0,1140.0,30.7,40200,Asia
United Kingdom,1836,4.86,279.0,3860.0,41.4,25700000,Europe
Uruguay,1836,5.85,406.0,2190.0,32.9,87800,South America
Uzbekistan,1836,5.71,381.0,529.0,26.9,2220000,Asia
Vanuatu,1836,6.6,348.0,620.0,24.3,32500,Oceania
Venezuela,1836,5.76,415.0,2260.0,32.2,1070000,South America
Vietnam,1836,4.7,417.0,768.0,32.0,6250000,Asia
Yemen,1836,6.88,540.0,971.0,23.4,2670000,Asia
Zambia,1836,6.71,410.0,724.0,32.6,1290000,Africa
Zimbabwe,1836,6.75,396.0,907.0,33.7,837000,Africa
Afghanistan,1837,7.0,474.0,640.0,27.8,3540000,Asia
Albania,1837,4.6,375.0,695.0,35.4,472000,Europe
Algeria,1837,6.99,460.0,883.0,28.8,2770000,Africa
Andorra,1837,,,1520.0,,2990,Europe
Angola,1837,6.96,486.0,726.0,27.0,2010000,Africa
Antigua and Barbuda,1837,4.86,351.0,851.0,33.5,37000,North America
Argentina,1837,6.8,402.0,1990.0,33.2,725000,South America
Armenia,1837,7.92,354.0,550.0,34.0,483000,Europe
Australia,1837,5.49,391.0,2140.0,34.0,391000,Oceania
Austria,1837,5.1,411.0,2560.0,34.4,3660000,Europe
Azerbaijan,1837,8.1,356.0,855.0,29.2,1030000,Europe
Bahamas,1837,5.9,342.0,1630.0,35.2,27700,North America
Bahrain,1837,7.01,440.0,1450.0,30.3,64500,Asia
Bangladesh,1837,6.7,508.0,877.0,25.5,21500000,Asia
Barbados,1837,5.38,535.0,1030.0,32.1,109000,North America
Belarus,1837,7.0,366.0,678.0,36.2,2750000,Europe
Belgium,1837,4.98,301.0,2680.0,40.3,3980000,Europe
Belize,1837,6.68,359.0,651.0,26.5,25700,North America
Benin,1837,5.58,430.0,650.0,31.0,720000,Africa
Bhutan,1837,6.67,449.0,653.0,28.8,360000,Asia
Bolivia,1837,6.48,405.0,1110.0,33.0,1250000,South America
Bosnia and Herzegovina,1837,5.91,379.0,731.0,35.1,946000,Europe
Botswana,1837,6.48,397.0,432.0,33.6,105000,Africa
Brazil,1837,6.26,417.0,1120.0,32.0,5890000,South America
Brunei,1837,7.06,455.0,1610.0,29.2,3220,Asia
Bulgaria,1837,5.16,352.0,1190.0,37.4,2360000,Europe
Burkina,1837,6.05,455.0,490.0,29.2,1770000,Africa
Burma (Myanmar),1837,6.03,433.0,594.0,30.8,3740000,Asia
Burundi,1837,6.8,424.0,433.0,31.5,1160000,Africa
CZ,1837,5.14,380.0,2210.0,35.0,6260000,Europe
Cambodia,1837,6.95,380.0,395.0,35.0,2170000,Asia
Cameroon,1837,5.54,460.0,682.0,28.8,2330000,Africa
Canada,1837,5.72,325.0,1880.0,39.8,1520000,North America
Cape Verde,1837,6.49,395.0,571.0,33.8,66700,Africa
Central African Republic,1837,6.51,444.0,462.0,30.0,699000,Africa
Chad,1837,6.06,432.0,455.0,30.9,1690000,Africa
Chile,1837,5.98,417.0,897.0,32.0,1110000,South America
China,1837,5.5,417.0,753.0,32.0,411000000,Asia
Colombia,1837,6.19,417.0,808.0,32.0,1850000,South America
Comoros,1837,6.01,416.0,723.0,32.1,58400,Africa
Congo,1837,5.67,409.0,638.0,32.7,413000,Africa
Costa Rica,1837,6.93,441.0,940.0,30.2,88900,North America
Croatia,1837,5.75,367.0,1550.0,36.1,1430000,Europe
Cuba,1837,5.78,362.0,1160.0,36.5,1010000,North America
Cyprus,1837,6.03,339.0,1050.0,38.5,185000,Europe
Denmark,1837,4.04,252.0,2500.0,41.5,1330000,Europe
Djibouti,1837,6.3,445.0,845.0,29.9,31600,Africa
Dominica,1837,,,746.0,,21700,North America
Dominican Republic,1837,6.16,445.0,734.0,29.9,118000,North America
East Timor,1837,6.52,451.0,560.0,28.9,172000,Asia
Ecuador,1837,6.99,406.0,591.0,32.9,660000,South America
Egypt,1837,6.05,405.0,1730.0,33.0,4430000,Africa
El Salvador,1837,5.9,462.0,1130.0,28.7,309000,North America
Equatorial Guinea,1837,5.51,447.0,373.0,29.8,95200,Africa
Eritrea,1837,6.96,441.0,557.0,30.2,412000,Africa
Estonia,1837,4.61,362.0,1070.0,38.0,410000,Europe
Ethiopia,1837,7.17,448.0,527.0,26.0,15300000,Africa
Fiji,1837,6.45,499.0,834.0,26.1,139000,Oceania
Finland,1837,4.17,370.0,1450.0,34.4,1420000,Europe
France,1837,3.6,274.0,2190.0,39.4,34400000,Europe
Gabon,1837,6.36,436.0,392.0,30.6,226000,Africa
Gambia,1837,6.51,460.0,831.0,28.8,108000,Africa
Georgia,1837,7.8,367.0,590.0,31.9,1250000,Europe
Germany,1837,4.9,490.0,2620.0,38.4,30200000,Europe
Ghana,1837,6.43,471.0,716.0,28.0,2000000,Africa
Greece,1837,6.03,361.0,2560.0,36.6,2700000,Europe
Grenada,1837,5.81,360.0,1030.0,31.4,31400,North America
Guatemala,1837,6.45,503.0,987.0,25.8,688000,North America
Guinea,1837,6.11,445.0,467.0,29.9,1010000,Africa
Guinea-Bissau,1837,7.25,417.0,576.0,32.0,214000,Africa
Guyana,1837,5.01,429.0,1370.0,31.1,106000,South America
Haiti,1837,6.31,486.0,755.0,29.0,838000,North America
Honduras,1837,6.13,393.0,841.0,33.9,232000,North America
Hungary,1837,5.18,368.0,1430.0,36.0,4690000,Europe
Iceland,1837,4.88,386.0,1120.0,32.8,57600,Europe
India,1837,5.95,509.0,788.0,24.3,224000000,Asia
Indonesia,1837,6.07,444.0,949.0,30.0,19600000,Asia
Iran,1837,7.08,506.0,1580.0,25.6,7080000,Asia
Iraq,1837,7.13,428.0,3960.0,31.2,1180000,Asia
Ireland,1837,4.2,348.0,2360.0,38.3,8190000,Europe
Israel,1837,5.52,448.0,884.0,32.0,210000,Asia
Italy,1837,5.47,452.0,3020.0,29.7,22500000,Europe
Jamaica,1837,5.13,390.0,1190.0,34.2,381000,North America
Japan,1837,4.54,363.0,1060.0,36.4,31600000,Asia
Jordan,1837,6.97,421.0,1230.0,31.7,261000,Asia
Kazakhstan,1837,6.45,497.0,1300.0,26.2,2380000,Asia
Kenya,1837,6.91,508.0,958.0,25.5,3130000,Africa
Kiribati,1837,5.67,396.0,569.0,24.9,19400,Oceania
"Korea, North",1837,6.1,500.0,246.0,26.0,4400000,Asia
"Korea, South",1837,6.0,503.0,463.0,25.8,9480000,Asia
Kuwait,1837,6.87,500.0,1260.0,26.0,81300,Asia
Kyrgyzstan,1837,6.58,380.0,592.0,23.9,619000,Asia
Laos,1837,6.13,419.0,903.0,31.9,552000,Asia
Latvia,1837,4.9,405.0,858.0,33.0,779000,Europe
Lebanon,1837,5.74,448.0,2450.0,29.7,375000,Asia
Lesotho,1837,5.84,407.0,359.0,32.8,215000,Africa
Liberia,1837,6.19,429.0,837.0,31.1,323000,Africa
Libya,1837,7.2,405.0,1300.0,33.1,254000,Africa
Liechtenstein,1837,,,,,6550,Europe
Lithuania,1837,5.51,459.0,1450.0,28.9,999000,Europe
Luxembourg,1837,4.65,357.0,1780.0,36.9,177000,Europe
Macedonia,1837,5.9,391.0,795.0,36.1,455000,Europe
Madagascar,1837,6.89,437.0,624.0,30.5,2170000,Africa
Malawi,1837,6.78,440.0,352.0,30.3,1630000,Africa
Malaysia,1837,5.45,436.0,1160.0,30.6,406000,Asia
Maldives,1837,5.98,433.0,844.0,32.6,46800,Asia
Mali,1837,6.23,494.0,608.0,26.4,1460000,Africa
Malta,1837,5.49,430.0,916.0,28.7,148000,Europe
Marshall Islands,1837,,,551.0,,8620,Oceania
Mauritania,1837,6.34,417.0,574.0,32.0,326000,Africa
Mauritius,1837,5.03,428.0,1020.0,26.2,108000,Africa
Mexico,1837,6.8,487.0,1230.0,26.9,6840000,North America
Micronesia,1837,6.02,353.0,530.0,26.7,17800,Oceania
Moldova,1837,6.39,370.0,683.0,33.1,832000,Europe
Monaco,1837,,,2440.0,,9560,Europe
Mongolia,1837,5.94,420.0,611.0,31.8,635000,Asia
Montenegro,1837,5.9,375.0,1220.0,35.4,165000,Europe
Morocco,1837,6.5,403.0,771.0,33.1,2780000,Africa
Mozambique,1837,6.63,440.0,399.0,30.3,3340000,Africa
Namibia,1837,5.96,412.0,698.0,32.4,140000,Africa
Nauru,1837,,,603.0,,1860,Oceania
Nepal,1837,6.15,407.0,621.0,32.8,4140000,Asia
Netherlands,1837,5.11,283.0,4010.0,39.9,2810000,Europe
New Zealand,1837,5.25,391.0,662.0,34.0,78000,Oceania
Nicaragua,1837,6.16,509.0,1170.0,25.4,244000,North America
Niger,1837,6.83,433.0,486.0,30.8,933000,Africa
Nigeria,1837,6.55,438.0,953.0,30.4,12900000,Africa
Norway,1837,4.13,215.0,2770.0,44.2,1200000,Europe
Oman,1837,6.88,414.0,985.0,32.3,334000,Asia
Pakistan,1837,6.59,502.0,1020.0,25.8,14400000,Asia
Palau,1837,,,891.0,,4210,Oceania
Panama,1837,5.36,406.0,1030.0,32.9,98800,North America
Papua New Guinea,1837,6.23,424.0,580.0,31.5,760000,Oceania
Paraguay,1837,6.49,374.0,1040.0,35.5,238000,South America
Peru,1837,6.82,372.0,850.0,35.7,1890000,South America
Philippines,1837,6.07,432.0,1120.0,30.9,2940000,Asia
Poland,1837,6.57,369.0,1130.0,35.9,11800000,Europe
Portugal,1837,4.5,373.0,1610.0,35.6,3640000,Europe
Qatar,1837,6.97,433.0,1260.0,30.8,14100,Asia
Romania,1837,5.22,372.0,476.0,35.7,7260000,Europe
Russian Federation,1837,7.0,419.0,1630.0,29.6,36600000,Asia
Rwanda,1837,7.07,420.0,452.0,31.8,1230000,Africa
Saint Kitts and Nevis,1837,,,1310.0,,23000,North America
Saint Lucia,1837,5.53,365.0,927.0,28.0,24000,North America
Saint Vincent and the Grenadines,1837,6.54,375.0,942.0,26.0,28100,North America
